"Location" "lon" "lat"
"124" "Columbus, OH" -83.0007065 39.9622601
"125" "Emporia, KS" -96.181623 38.4040054
"126" "Hanover, MD" -76.7241371 39.1928853
"127" "Richmond, VA" -77.43428 37.5385087
"128" "Madison, MS" -90.1153638 32.4618086
"129" "Winter Park, FL" -81.3510264 28.5977707
"130" "South Berkeley, CA" -122.2723752 37.8551575
"131" "Greenville, SC" -82.3984882 34.851354
"132" "Farmington, NM" -108.2054451 36.7291152
"133" "Rancho Cordova, CA" -121.302728 38.5890723
"134" "McLean, VA" -77.1776327 38.9342888
"135" "Modesto, CA" -120.9968782 37.6390972
"136" "Walnut Creek, CA" -111.4704995 56.7698423
"137" "Northwest Township, OH" -82.0246960958861 41.493716
"138" "Cullman, AL" -86.8779268 34.1335332
"139" "California, United States" -118.7559974 36.7014631
"140" "Plainfield, VT" -72.4264926 44.2781151
"141" "Montpelier, OH" -84.6055076 41.5844951
"142" "Newton, MA" -71.2092214 42.3370414
"143" "Westchester, FL" -80.3272741 25.7548224
"144" "Orange, CT" -73.0256609 41.2784304
"145" "Lexington, KY" -84.4970393 38.0464066
"146" "Santa Clarita, CA" -118.542586 34.3916641
"147" "Orlando, FL" -81.3790304 28.5421109
"148" "Lafayette, LA" -92.0198427 30.2240897
"149" "Indiana, PA" -79.1262839 40.6424116
"150" "Miramar, FL" -80.3347212811522 25.97591145
"151" "Eau Claire-Menomonie Area" 0 0
"152" "Lewisville, TX" -96.994174 33.046233
"153" "Santa Ana, CA" -117.8732213 33.7494951
"154" "Monticello, IN" -86.7647343 40.7453169
"155" "Los Altos, CA" -122.116578 37.3790629
"156" "Madison, WI" -89.3837613 43.074761
"157" "Sunnyvale, CA" -63.693173 44.7858558
"158" "Troy, MI" -83.1499304 42.6055893
"159" "Glen Ellen, CA" -122.5390729 38.355533
"160" "Aurora, CO" -104.8319196 39.729432
"161" "Salt Lake County, UT" -111.9103124 40.6632297
"162" "South San Francisco, CA" -122.4081251 37.6549493
"163" "Tampa, FL" -82.458444 27.9477595
"164" "Teaneck, NJ" -74.0072568 40.8860164
"165" "Rockford, IL" -89.093966 42.2713945
"166" "Bellevue, WA" -122.1923372 47.6144219
"167" "Kinston, NC" -77.5816353 35.2626635
"168" "Larkspur, CA" -113.3839484 53.4798364
"169" "Moss Landing, CA" -121.7865811 36.7988827
"170" "San Leandro, CA" -122.1560768 37.7249296
"171" "District of Columbia, United States" -76.987883253882 38.89366125
"172" "Longwood, FL" -81.3492779714387 28.7007225
"173" "Edon, OH" -84.7688456 41.5564394
"174" "Campbell, CA" -74.2860761 45.9788568
"175" "Purchase, NY" -73.7145746 41.0409305
"176" "St Petersburg, FL" -82.6695085 27.7703796
"177" "Metairie, LA" -90.1767149159888 30.001852
"178" "Columbia, SC" -81.0343313 34.0007493
"179" "Greater Philadelphia" -75.1958900445997 39.93191925
"180" "Reston, VA" -77.3579805 38.9583737
"181" "Newark, CA" -80.6953669 42.972978
"182" "York, PA" -76.727392 39.962398
"183" "Hudson, MA" -71.5678236 42.3913088
"184" "Bentonville, AR" -94.2088172 36.3728538
"185" "Riviera Beach, FL" -80.0580969 26.7753405
"186" "Oberlin, OH" -82.2173786 41.2939386
"187" "Morgantown, WV" -79.9559437 39.6296809
"188" "Los Angeles Metropolitan Area" -70.7086785 -33.5872504
"189" "Okemos, MI" -84.4275232 42.7220755
"190" "Norcross, GA" -84.2135309 33.9412127
"191" "Amherst, NY" -78.7997616 42.9783924
"192" "Ann Arbor, MI" -83.7312291 42.2681569
"193" "Newark, NJ" -74.1723667 40.735657
"194" "New Orleans, LA" -90.0701156 29.9499323
"195" "San Ramon, CA" -121.9544387 37.7648021
"196" "Irvine, CA" -110.2732606 49.9584438
"197" "Mesa, AZ" -111.8314773 33.4151117
"198" "Chattanooga, TN" -85.3094883 35.0457219
"199" "San Rafael, CA" -122.5310874 37.9735346
"200" "South Bend, IN" -86.2500066 41.6833813
"201" "Plano, TX" -96.6925096 33.0136764
"202" "Provo, UT" -111.6585337 40.2338438
"203" "Fort Mill, SC" -80.9450759 35.0073697
"204" "Franklin, TN" -86.8689365 35.925193
"205" "White Plains, NY" -73.7629097 41.0339862
"206" "Princeton, NJ" -74.6592958 40.3492744
"207" "Indianapolis, IN" -86.1583502 39.7683331
"208" "Eagle Pass, TX" -100.4938137 28.7099337
"209" "Rockville, MD" -77.1527573 39.0840054
"210" "Emeryville, CA" -82.7613582 42.2976601
"211" "La Vergne, TN" -86.5819394 36.0156178
"212" "Cary, NC" -78.7811964 35.7883046
"213" "Whitinsville, MA" -71.6576064 42.1130203
"214" "Stow, MA" -71.5050009 42.4365949
"215" "Atlanta, NE" -99.4733834 40.3678095
"216" "Roseville, CA" -80.4759309 43.3414752
"217" "Evanston, IL" -87.6930459 42.0447388
"218" "Indiana, United States" -86.1746933 40.3270127
"219" "Merna, NE" -99.7602855 41.484038
"220" "Marlton, NJ" -74.9338910558902 39.9005585
"221" "Whitestown, IN" -86.3458296 39.9972626
"222" "Coquille, OR" -124.187608 43.177055
"223" "Starmount, NC" -80.9067409 35.798469
"224" "Dayton, OH" -84.1916069 39.7589478
"225" "Nashville, TN" -86.7743531 36.1622296
"226" "Des Moines, IA" -93.6037149 41.5910641
"227" "Pearl River, NY" -74.0073763671132 41.0553885
"228" "Ventura County, CA" -119.0779359 34.4458248
"229" "New Brunswick, NJ" -74.4518173 40.4862174
"230" "Salt Lake City, UT" -111.8867975 40.7596198
"231" "Brooklyn, NY" -73.9495823 40.6501038
"232" "Colorado Springs, CO" -104.8253485 38.8339578
"233" "Syracuse, NE" -96.186398 40.657224
"234" "St Paul, MN" -93.1015026 44.9504037
"235" "Lake Forest, IL" -87.840625 42.2586342
"236" "Dublin, OH" -83.1140771 40.0992294
"237" "Greensboro, NC" -79.7919754 36.0726355
"238" "Maywood, IL" -87.8431155 41.8791979
"239" "Draper, UT" -111.8638226 40.5246711
"240" "Sioux Falls, SD" -96.700327 43.5499749
"241" "Broomfield, CO" -105.0691464 39.9203827
"242" "Virginia, MN" -92.536571 47.52326
"243" "Alpharetta, GA" -84.2747329 34.0709576
"244" "Fort Collins, CO" -105.0668085 40.5508527
"245" "Livermore, CA" -121.7680531 37.6820583
"246" "Texas, United States" -99.5120986 31.8160381
"247" "Dallas-Fort Worth Metroplex" 0 0
"248" "Bothell, WA" -122.2068288 47.7598697
"249" "West Jordan, UT" -111.9391031 40.6096698
"250" "Burlington, MA" -71.1956111 42.5048167
"251" "Fairfax, VA" -77.3063733 38.8462236
"252" "Mansfield, MA" -71.2189405 42.0334326
"253" "Florence, OR" -124.1013089 43.9800086
"254" "Costa Mesa, CA" -117.903317 33.6633386
"255" "Iowa City, IA" -91.5299106 41.6612561
"256" "Bridgewater, NJ" -74.5517146 40.5598127
"257" "Honolulu, HI" -157.8556764 21.304547
"258" "Simi Valley, CA" -118.781482 34.2694474
"259" "Tempe, AZ" -111.9400125 33.4255056
"260" "Issaquah, WA" -122.0432974 47.5348778
"261" "Palmer, AK" -149.1110902 61.5995703
"262" "Detroit Metropolitan Area" -0.3494525 48.8668453
"263" "Pennsylvania, United States" -77.7278831 40.9699889
"264" "Windsor Mill, MD" -76.7594179 39.3328839
"265" "Norwell, MA" -70.7939307 42.1617681
"266" "State College, PA" -77.8616386 40.7944504
"267" "Columbia, MD" -76.8747722901238 39.19391955
"268" "Norwood, MA" -71.1994976 42.194543
"269" "Laramie, WY" -105.591101 41.311367
"270" "Westerville, OH" -82.9295287 40.126139
"271" "Rocky Mount, NC" -77.7956949 35.9423833
"272" "Daphne, AL" -87.9036047 30.6035255
"273" "North Bergen, NJ" -74.012084 40.8042674
"274" "Stuart, VA" -80.2656169 36.6409753
"275" "Irwin, PA" -79.7093339 40.3301738
"276" "Mobile, AL" -88.0430541 30.6943566
"277" "Rosemead, CA" -118.0879763 34.0676169
"278" "Foster City, CA" -122.2688522 37.5600336
"279" "Mount Sterling, KY" -83.9431961 38.0561079
"280" "Warroad, MN" -95.314404 48.905266
"281" "Jersey City, NJ" -74.0776417 40.7281575
"282" "Winter Haven, FL" -81.7328568 28.0222435
"283" "Northbrook, IL" -84.5814785184761 39.2460871
"284" "Rochester, MN" -92.4630182 44.0234387
"285" "Kansas City, KS" -94.626497 39.1134562
"286" "Horsham, PA" -75.1285061 40.1784422
"287" "Woburn, MA" -71.1522766 42.4792618
"288" "Fort Lauderdale, FL" -80.1433786 26.1223084
"289" "Wilmington, MA" -71.1736669 42.5464828
"290" "Tucson, AZ" -110.9748477 32.2228765
"291" "Helena, MT" -112.0362771 46.5927425
"292" "West Lafayette, IN" -86.9080655 40.4258686
"293" "Pelham, AL" -86.7824252847182 33.3114985
"294" "Schaumburg, IL" -88.083406 42.0333608
"295" "Anaheim, CA" -117.911732 33.8347516
"296" "Wilmington, NC" -77.9447107 34.2257282
"297" "Needham, MA" -71.2328329 42.283431
"298" "Myrtle Point, OR" -124.1392815 43.0635936
"299" "Tullahoma, TN" -86.2094342 35.3620235
"300" "Fort Belvoir, VA" -77.1509829129588 38.72821225
"301" "Quincy, MA" -71.0022705 42.2528772
"302" "Gaithersburg, MD" -77.2013705 39.1434406
"303" "Albuquerque, NM" -106.6509851 35.0841034
"304" "David City, NE" -97.1300668 41.2527355
"305" "Norman, OK" -97.4394816 35.2225717
"306" "Monmouth Junction, NJ" -74.5331344168263 40.3839975
"307" "United States" -100.4458825 39.7837304
"308" "Bloomington, IL" -88.9941403 40.4731073
"309" "Missoula County, MT" -113.9232612 46.9653891
"310" "Tallahassee, FL" -84.2809332 30.4380832
"311" "Exton, PA" -75.6207651 40.0289955
"312" "North Carolina, United States" -79.0392919 35.6729639
"313" "King of Prussia, PA" -75.3832484 40.0908111
"314" "Orem, UT" -111.694943 40.2971825
"315" "Milwaukee, WI" -87.922497 43.0349931
"316" "Leesburg, VA" -77.5645446 39.1154496
"317" "Asheville, NC" -82.5540161 35.6009498
"318" "Fulton, MD" -76.9230307 39.1509408
"319" "Los Altos Hills, CA" -122.1374637 37.3796627
"320" "Westminster, CO" -105.0372046 39.8366528
"321" "Malvern, PA" -85.5191005 31.1393439
"322" "Stamford, CT" -73.5387341 41.0534302
"323" "Fort Myers, FL" -81.8723084 26.640628
"324" "Carmel, IN" -86.1189257 39.9788017
"325" "St Louis Park, MN" -93.3569023 44.9475726
"326" "Hillsboro, OR" -122.989827 45.5228939
"327" "Salem, MA" -70.8967226 42.5195292
"328" "Rensselaer County, NY" -73.5107732 42.7091389
"329" "Madison, AL" -86.5675095 34.7736807
"330" "Falls Church, VA" -77.1710914 38.882334
"331" "Chadds Ford, PA" -75.5914213 39.872027
"332" "Silver Spring, MD" -77.0276231 38.9959461
"333" "Clinton, MA" -71.6799426 42.4141495
"334" "Irving, TX" -96.9442177 32.8295183
"335" "Fredericksburg, VA" -77.4605399 38.3031837
"336" "Massachusetts, United States" -72.032366 42.3788774
"337" "Petoskey, MI" -84.95533 45.373343
"338" "Las Vegas, NV" -115.1485163 36.1672559
"339" "Greenwood Village, CO" -104.9508141 39.6172101
"340" "Vernon Hills, IL" -87.9803604 42.2204892
"341" "Wood Dale, IL" -87.9789562 41.9633625
"342" "Plymouth Meeting, PA" -75.2844870122158 40.1105915
"343" "Vancouver, WA" -122.6744557 45.6306954
"344" "Morristown, NJ" -74.4809492 40.7970384
"345" "Downers Grove, IL" -88.010376 41.7938195
"346" "Cherry, IL" -89.213419 41.4269787
"347" "Charlottesville, VA" -78.4766781 38.029306
"348" "Boca Raton, FL" -80.0830984 26.3586885
"349" "Fairfield, CA" -80.4912223 43.4666653
"350" "Rohnert Park, CA" -122.7010984 38.3396367
"351" "West Hartford, CT" -72.7566445629751 41.7629122
"352" "North Wales, PA" -75.2782317 40.2109404
"353" "Cincinnati, OH" -84.5124602 39.1014537
"354" "Chapel Hill, NC" -79.05578 35.9131542
"355" "Potsdam, NY" -74.9813349 44.6697996
"356" "Hattiesburg, MS" -89.2903392 31.3271189
"357" "Rochester, NY" -77.615214 43.157285
"358" "Farmington Hills, MI" -83.3771553 42.4853125
"359" "Morrisville, NC" -78.8300321 35.824341
"360" "Gainesville, FL" -82.3249846 29.6519684
"361" "Worcester, MA" -71.8022934 42.2625932
"362" "Harrison, NY" -73.71263 40.9689871
"363" "Midwest, WY" -106.280075 43.411391
"364" "Waterbury, CT" -73.0438362 41.5538091
"365" "Seymour, IN" -85.8902547 38.9592201
"366" "Washington DC-Baltimore Area" 0 0
"367" "Dahlgren, VA" -77.0548853265882 38.3374105
"368" "Dearborn, MI" -83.1763145 42.3222599
"369" "Memphis, TN" -90.0516285 35.1490215
"370" "Fair Lawn, NJ" -74.1312504 40.9397796
"371" "Lexington, NC" -80.2533838 35.8240265
"372" "Huntington Beach, CA" -118.0000166 33.6783336
"373" "Menlo Park, CA" -122.1779927 37.4519671
"374" "New Castle, DE" -75.5663132 39.6620572
"375" "Hawkins, TX" -95.2041135 32.5884735
"376" "Elmwood Park, NJ" -74.118476 40.9039878
"377" "Hialeah, FL" -80.2781057 25.8575963
"378" "Buffalo, NY" -78.8783922 42.8867166
"379" "Overland Park, KS" -94.6851702 38.9742502
"380" "Colonie, NY" -73.8334554 42.7178558
"381" "Littleton, NH" -71.770248 44.306653
"382" "Livingston, NJ" -74.3148713 40.7959335
"383" "Carlsbad, CA" -117.3505966 33.1580933
"384" "Tulsa, OK" -95.9929113 36.1556805
"385" "Smyrna, GA" -84.5147454 33.883887
"386" "Jamestown, NC" -79.9356589 35.9941053
"387" "Woonsocket, RI" -71.5147839 42.0028761
"388" "Douglas, GA" -84.7622973 33.6995565
"389" "Lincoln, NE" -96.7077751 40.8088861
"390" "Bloomington, IN" -86.5342881 39.1670396
"391" "Skokie, IL" -87.7333972 42.0333694
"392" "Baraboo, WI" -89.7437844 43.4704014
"393" "Pasadena, CA" -57.5986531 49.0139234
"394" "Charleston, SC" -79.9402728 32.7876012
"395" "Basking Ridge, NJ" -74.5492725 40.7064088
"396" "Springdale, AR" -94.1288142 36.1867442
"397" "Ingleside, TX" -97.2098831 27.876615
"398" "Bainbridge Island, WA" -122.5209287 47.6262725
"399" "Braselton, GA" -83.7626729 34.1092735
"400" "Somerville, MA" -71.0994968 42.3875968
"401" "Spartanburg, SC" -81.9320157 34.9498007
"402" "Annapolis, MD" -76.492786 38.9786401
"403" "Corpus Christi, TX" -97.4014129 27.7477253
"404" "Alexandria, VA" -77.0470229 38.8051095
"405" "Nelsonville, OH" -82.2318156 39.458681
"406" "Ontario, CA" -86.000977 50.000678
"407" "Bloomington, MN" -93.3204872 44.8322405
"408" "Yorktown, IN" -85.4941396 40.1736547
"409" "Lenexa, KS" -94.7845837 38.9697458
"410" "Frederick, MD" -77.4109269 39.4142186
"411" "Reading, PA" -75.9279495 40.335345
"412" "Feasterville-Trevose, PA" -74.988733542723 40.1513276
"413" "Chantilly, VA" -77.4311513 38.8941543
"414" "Golden, CO" -105.2210997 39.755543
"415" "Oxford, MA" -71.8592889 42.1336307
"416" "Midway City, CA" -117.9892263 33.7447388
"417" "Parsippany, NJ" -74.4259866 40.8578772
"418" "Polkton, NC" -80.2008947 35.0076546
"419" "Georgia, United States" -83.1137366 32.3293809
"420" "Pomona, CA" -117.7517496 34.0553813
"421" "Cypress, CA" -110.5150213 50.2017337
"422" "Norfolk, VA" -76.2929252 36.8462923
"423" "Omaha, NE" -95.9383758 41.2587459
"424" "Columbia, CA" -122.9061329 49.2048182
"425" "Prior Lake, MN" -93.4226873 44.7133271
"426" "Colonial Heights, VA" -77.4112016 37.2555718
"427" "Lincoln, Nebraska Metropolitan Area" 21.9043714 47.0555163
"428" "Sayre, PA" -76.515499 41.9789631
